G_CS,C,D1,D2,Th,stable,n_fp
6.5,0.010260990648285664,0.0589408250794377,0.05894082507943816,0.010055399737778912,0,3
6.5,0.009542536674135118,0.04190127915200491,0.07385937171471425,0.006969733921458265,1,3
6.5,0.013965057924234756,0.1673129629527573,0.010741644335105105,0.02321377700217599,1,3
6.6000000000000005,0.010262181807857441,0.058970306729168,0.05897030672917161,0.010060337725878027,0,3
6.6000000000000005,0.009537770122275468,0.041781837385913984,0.0740352881081841,0.006948511043429777,1,3
6.6000000000000005,0.013970079994956438,0.16761669167653928,0.010697207832690644,0.02322918887860427,1,3
6.7,0.01026337368861046,0.05899980244227869,0.05899980244227887,0.010065278142022694,0,3
6.7,0.009533034187982363,0.041663007873716004,0.0742109273790142,0.00692741418636445,1,3
6.7,0.013975066969284564,0.16791981910389572,0.010653053670504205,0.023244487726268373,1,3
6.800000000000001,0.010264566290808418,0.05902931222713243,0.05902931222713292,0.010070220986416453,0,3
6.800000000000001,0.009528328563247927,0.04154478463039135,0.07438629234041658,0.006906442166261553,1,3
6.800000000000001,0.013980019188477386,0.1682223511169211,0.010609178917242949,0.023259674707283982,1,3
6.9,0.010265759614714863,0.05905883609210402,0.05905883609210387,0.010075166259261801,0,3
6.9,0.009523652944752298,0.04142716176614603,0.07456138575928135,0.00688559381647499,1,3
6.9,0.01398493698887077,0.1685242935022993,0.01056558068862794,0.023274750966298437,1,3
7.0,0.010266953660592777,0.05908837404556832,0.05908837404556848,0.010080113960758067,0,3
7.0,0.009519007033764041,0.04131013348431172,0.07473621035720186,0.006864867987350048,1,3
7.0,0.013989820701979464,0.16882565195342858,0.010522256146355581,0.023289717630860362,1,3
7.1000000000000005,0.010268148428704793,0.05911792609590582,0.05911792609590586,0.010085064091102462,0,3
7.1000000000000005,0.009514390536042671,0.0411936940792858,0.07491076881149174,0.006844263545866506,1,3
7.1000000000000005,0.01399467065459692,0.1691264320724517,0.010479202497093255,0.023304575811774742,1,3
7.2,0.010269343919312956,0.05914749225149828,0.059147492251500705,0.01009001665048918,0,3
7.2,0.00950980316174426,0.041077837934542394,0.07508506375615834,0.006823779375294141,1,3
7.2,0.01399948716889166,0.16942663937232388,0.010436416991480376,0.02331932660345659,1,3
7.300000000000001,0.010270540132679145,0.05917707252073674,0.05917707252073714,0.010094971639110899,0,3
7.300000000000001,0.009505244625327886,0.04096255952065328,0.07525909778289729,0.006803414374849424,1,3
7.300000000000001,0.014004270562499505,0.1697262792786235,0.010393896923190244,0.023333971084262647,1,3
7.4,0.010271737069064459,0.05920666691200846,0.05920666691200887,0.01009992905715646,0,3
7.4,0.009500714645469211,0.04084785339348202,0.07543287344193729,0.006783167459382085,1,3
7.4,0.014009021148616713,0.17002535713156589,0.010351639627982214,0.023348510316827442,1,3
7.5,0.010272934728729755,0.05923627543370959,0.0592362754337092,0.010104888904813055,0,3
7.5,0.009496212944970306,0.040733714192271224,0.07560639324302247,0.006763037559042908,1,3
7.5,0.01401373923608776,0.17032387818777386,0.01030964248280554,0.02336294534838102,1,3
7.6000000000000005,0.010274133111935346,0.0592658980942375,0.05926589809423705,0.010109851182264928,0,3
7.6000000000000005,0.009491739250676283,0.0406201366378966,0.07577965965625062,0.00674302361898022,1,3
7.6000000000000005,0.014018425129492,0.17062184762207686,0.010267902904916065,0.023377277211062118,1,3
7.7,0.010275332218941164,0.05929553490199431,0.05929553490199421,0.010114815889693922,0,3
7.7,0.009487293293392351,0.04050711553112039,0.07595267511293807,0.006723124599036055,1,3
7.7,0.014023079129227898,0.17091927052923933,0.010226418351022887,0.023391506922221975,1,3
7.800000000000001,0.010276532050006634,0.059325185865385606,0.05932518586538631,0.010119783027279314,0,3
7.800000000000001,0.0094828748078039,0.04039464575091565,0.07612544200643664,0.0067033394734544284,1,3
7.800000000000001,0.01402770153159495,0.17121615192566123,0.01018518631645209,0.023405635484720837,1,3
7.9,0.010277732605390793,0.05935485099282179,0.059354850992821735,0.010124752595198003,0,3
7.9,0.009478483532397722,0.04028272225280937,0.07629796269295612,0.006683667230592627,1,3
7.9,0.014032292628873566,0.17151249675100907,0.01014420433433872,0.023419663887215978,1,3
8.0,0.010278933885352105,0.05938453029271427,0.05938453029271443,0.010129724593623875,0,3
8.0,0.009474119209386175,0.04017134006729292,0.07647023949234057,0.006664106872644082,1,3
8.0,0.014036852709402753,0.17180830986981674,0.010103469974837864,0.023433593104442468,1,3
8.1,0.010280135890148713,0.05941422377348044,0.05941422377348034,0.01013469902272865,0,3
8.1,0.009469781584632794,0.04006049429826356,0.07664227468883583,0.00664465741536637,1,3
8.1,0.01404138205765648,0.17210359607307024,0.010062980844348519,0.02344742409748871,1,3
8.200000000000001,0.01028133862003818,0.05944393144353998,0.059443931443539884,0.010139675882681186,0,3
8.200000000000001,0.009465470407580086,0.03995018012151028,0.07681407053183352,0.0066253178878167675,1,3
8.200000000000001,0.014045880954316472,0.17239836007965206,0.01002273458478762,0.02346115781405869,1,3
8.3,0.010282542075277653,0.05947365331131673,0.059473653311316765,0.010144655173647911,0,3
8.3,0.009461185431179025,0.03984039278323868,0.07698562923659616,0.006606087332094505,1,3
8.3,0.01405034967634511,0.17269260653787766,0.00998272887284166,0.023474795188735527,1,3
8.4,0.01028374625612383,0.05950338938523786,0.05950338938523845,0.010149636895792544,0,3
8.4,0.009456926411820474,0.039731127598636506,0.07715695298496107,0.006586964803089759,1,3
8.4,0.014054788497056001,0.17298634002696237,0.009942961419254496,0.02348833714323722,1,3
8.5,0.010284951162832928,0.059533139673735,0.05953313967373528,0.010154621049276384,0,3
8.5,0.009452693109268242,0.03962237995047356,0.07732804392602928,0.006567949368238609,1,3
8.5,0.014059197686180726,0.1732795650582946,0.009903429968165806,0.023501784586654167,1,3
8.6,0.010286156795660693,0.059562904185242266,0.05956290418524209,0.010159607634257934,0,3
8.6,0.00944848528659389,0.03951414528774043,0.07749890417683375,0.0065490401072845735,1,3
8.6,0.014063577509937374,0.17357228607692404,0.009864132296408822,0.023515138415699403,1,3
8.700000000000001,0.010287363154862362,0.059592682928197145,0.05959268292819728,0.010164596650893013,0,3
8.700000000000001,0.009444302710113095,0.03940641912431905,0.0776695358229935,0.006530236112045469,1,3
8.700000000000001,0.014067928231094947,0.17386450746283738,0.009825066212867684,0.023528399514938857,1,3
8.8,0.01028857024069278,0.05962247591104212,0.0596224759110418,0.01016958809933509,0,3
8.8,0.00944014514932384,0.03929919703769517,0.07783994091934321,0.006511536486187498,1,3
8.8,0.014072250109036144,0.17415623353224707,0.009786229557840405,0.023541568757021777,1,3
8.9,0.010289778053406416,0.05965228314222047,0.05965228314222227,0.010174581979734518,0,3
8.9,0.009436012376845566,0.03919247466768571,0.07801012149056451,0.006492940345001919,1,3
8.9,0.014076543399820946,0.17444746853887597,0.009747620202412297,0.023554647002901923,1,3
9.0,0.010290986593256555,0.0596821046301842,0.05968210463018442,0.01017957829223989,0,3
9.0,0.009431904168360815,0.03908624771523013,0.07818007953176959,0.006474446815192158,1,3
9.0,0.014080808356244773,0.1747382166751495,0.009709236047852033,0.0235676351020572,1,3
9.1,0.010292195860497153,0.05971194038338265,0.05971194038338288,0.01018457703699612,0,3
9.1,0.009427820302557169,0.03898051194117416,0.07834981700910817,0.0064560550346605145,1,3
9.1,0.014085045227901405,0.17502848207344474,0.009671075025020414,0.02358053389270239,1,3
9.200000000000001,0.010293405855380895,0.05974179041027232,0.05974179041027254,0.010189578214146068,0,3
9.200000000000001,0.009423760561071096,0.03887526316510458,0.07851933586033806,0.006437764152302518,1,3
9.200000000000001,0.014089254261237066,0.17531826880721477,0.009633135093794582,0.023593344201995648,1,3
9.3,0.010294616578160175,0.05977165471931235,0.05977165471931247,0.010194581823829778,0,3
9.3,0.009419724728434348,0.03877049726423593,0.07868863799536087,0.006419573327811405,1,3
9.3,0.014093435699604587,0.17560758089214315,0.009595414242498613,0.02360606684624096,1,3
9.4,0.010295828029086927,0.059801533318965955,0.059801533318964796,0.010199587866184754,0,3
9.4,0.009415712592018184,0.03866621017225431,0.07885772529680905,0.006401481731472921,1,3
9.4,0.014097589783323056,0.17589642228722593,0.00955791048737553,0.023618702631082417,1,3
9.5,0.010297040208412487,0.05983142621769676,0.0598314262176974,0.01020459634134529,0,3
9.5,0.009411723941983884,0.038562397878277054,0.07902659962053978,0.006383488543984222,1,3
9.5,0.014101716749732388,0.17618479689594252,0.009520621872023691,0.023631252351707974,1,3
9.600000000000001,0.010298253116387938,0.05986133342397755,0.0598613334239773,0.01020960724944398,0,3
9.600000000000001,0.009407758571229906,0.038459056425776614,0.07919526279617013,0.006365592956260719,1,3
9.600000000000001,0.014105816833239996,0.17647270856720584,0.009483546466899912,0.023643716793024367,1,3
9.700000000000001,0.010299466753263604,0.059891254946279074,0.059891254946279004,0.010214620590609746,0,3
9.700000000000001,0.009403816275343072,0.03835618191155175,0.07936371662758226,0.006347794169256733,1,3
9.700000000000001,0.014109890265374207,0.17676016109645232,0.00944668236879974,0.023656096729848725,1,3
9.8,0.010300681119289232,0.05992119079307171,0.05992119079308334,0.010219636364968237,0,3
9.8,0.009399896852549761,0.03825377048472385,0.07953196289341481,0.006330091393786842,1,3
9.8,0.0141139372748373,0.17704715822664369,0.009410027700358571,0.023668392927086612,1,3
9.9,0.01030189621471528,0.05995114097286167,0.05995114097285028,0.010224654572647835,0,3
9.9,0.009396000103668362,0.03815181834574903,0.07970000334755134,0.006312483850350694,1,3
9.9,0.01411795808755013,0.17733370364923307,0.009373580609574833,0.023680606139907225,1,3
10.0,0.010303112039789189,0.05998110549409261,0.05998110549409236,0.010229675213763076,0,3
10.0,0.009392125832064165,0.03805032174549172,0.07986783971955846,0.006294970768971341,1,3
10.0,0.01412195292670178,0.17761980100513022,0.009337339269331725,0.023692737113914505,1,3
10.100000000000001,0.010304328594760426,0.060011084365276926,0.06001108436527687,0.010234698288436829,0,3
